Email,Status,Role,Activities completed,Last active
student0001@sample.tri-ai.test,Active,Member,1,2026-04-17 11:07:00 UTC
student0002@sample.tri-ai.test,Active,Member,2,2026-04-14 12:14:00 UTC
student0003@sample.tri-ai.test,Active,Member,3,2026-04-17 13:21:00 UTC
student0004@sample.tri-ai.test,Active,Member,4,2026-04-14 14:28:00 UTC
student0005@sample.tri-ai.test,Active,Member,5,2026-04-17 15:35:00 UTC
student0006@sample.tri-ai.test,Active,Member,0,2026-04-14 16:42:00 UTC
student0007@sample.tri-ai.test,Active,Member,1,2026-04-17 17:49:00 UTC
student0008@sample.tri-ai.test,Active,Member,2,2026-04-14 10:56:00 UTC
student0009@sample.tri-ai.test,Active,Member,3,2026-04-17 11:03:00 UTC
student0010@sample.tri-ai.test,Active,Member,4,2026-04-14 12:10:00 UTC
student0011@sample.tri-ai.test,Active,Member,5,2026-04-17 13:17:00 UTC
student0012@sample.tri-ai.test,Active,Member,0,2026-04-14 14:24:00 UTC
student0013@sample.tri-ai.test,Active,Member,1,2026-04-17 15:31:00 UTC
student0014@sample.tri-ai.test,Active,Member,2,2026-04-14 16:38:00 UTC
student0015@sample.tri-ai.test,Active,Member,3,2026-04-17 17:45:00 UTC
student0016@sample.tri-ai.test,Active,Member,4,2026-04-14 10:52:00 UTC
student0017@sample.tri-ai.test,Active,Member,5,2026-04-17 11:59:00 UTC
student0018@sample.tri-ai.test,Active,Member,0,2026-04-14 12:06:00 UTC
student0019@sample.tri-ai.test,Active,Member,1,2026-04-17 13:13:00 UTC
student0020@sample.tri-ai.test,Active,Member,2,2026-04-14 14:20:00 UTC
student0021@sample.tri-ai.test,Active,Member,3,2026-04-17 15:27:00 UTC
student0022@sample.tri-ai.test,Active,Member,4,2026-04-14 16:34:00 UTC
student0023@sample.tri-ai.test,Active,Member,5,2026-04-17 17:41:00 UTC
student0024@sample.tri-ai.test,Active,Member,0,2026-04-14 10:48:00 UTC
student0025@sample.tri-ai.test,Active,Member,1,2026-04-17 11:55:00 UTC
student0026@sample.tri-ai.test,Active,Member,2,2026-04-14 12:02:00 UTC
student0027@sample.tri-ai.test,Active,Member,3,2026-04-17 13:09:00 UTC
student0028@sample.tri-ai.test,Active,Member,4,2026-04-14 14:16:00 UTC
student0029@sample.tri-ai.test,Active,Member,5,2026-04-17 15:23:00 UTC
student0030@sample.tri-ai.test,Active,Member,0,2026-04-14 16:30:00 UTC
student0031@sample.tri-ai.test,Active,Member,1,2026-04-17 17:37:00 UTC
student0032@sample.tri-ai.test,Active,Member,2,2026-04-14 10:44:00 UTC
student0033@sample.tri-ai.test,Active,Member,3,2026-04-17 11:51:00 UTC
student0034@sample.tri-ai.test,Active,Member,4,2026-04-14 12:58:00 UTC
student0035@sample.tri-ai.test,Active,Member,5,2026-04-17 13:05:00 UTC
student0036@sample.tri-ai.test,Active,Member,0,2026-04-14 14:12:00 UTC
student0037@sample.tri-ai.test,Active,Member,1,2026-04-17 15:19:00 UTC
student0038@sample.tri-ai.test,Active,Member,2,2026-04-14 16:26:00 UTC
student0039@sample.tri-ai.test,Active,Member,3,2026-04-17 17:33:00 UTC
student0040@sample.tri-ai.test,Active,Member,4,2026-04-14 10:40:00 UTC
student0041@sample.tri-ai.test,Active,Member,5,2026-04-17 11:47:00 UTC
student0042@sample.tri-ai.test,Active,Member,0,2026-04-14 12:54:00 UTC
student0043@sample.tri-ai.test,Active,Member,1,2026-04-17 13:01:00 UTC
student0044@sample.tri-ai.test,Active,Member,2,2026-04-14 14:08:00 UTC
student0045@sample.tri-ai.test,Active,Member,3,2026-04-17 15:15:00 UTC
student0046@sample.tri-ai.test,Active,Member,4,2026-04-14 16:22:00 UTC
