Email,Team
student0001@sample.tri-ai.test,Team 01
student0002@sample.tri-ai.test,Team 01
student0003@sample.tri-ai.test,Team 01
student0004@sample.tri-ai.test,Team 01
student0005@sample.tri-ai.test,Team 01
student0006@sample.tri-ai.test,Team 01
student0007@sample.tri-ai.test,Team 01
student0008@sample.tri-ai.test,Team 01
student0009@sample.tri-ai.test,Team 01
student0010@sample.tri-ai.test,Team 01
student0011@sample.tri-ai.test,Team 02
student0012@sample.tri-ai.test,Team 02
student0013@sample.tri-ai.test,Team 02
student0014@sample.tri-ai.test,Team 02
student0015@sample.tri-ai.test,Team 02
student0016@sample.tri-ai.test,Team 02
student0017@sample.tri-ai.test,Team 02
student0018@sample.tri-ai.test,Team 02
student0019@sample.tri-ai.test,Team 02
student0020@sample.tri-ai.test,Team 02
student0021@sample.tri-ai.test,Team 03
student0022@sample.tri-ai.test,Team 03
student0023@sample.tri-ai.test,Team 03
student0024@sample.tri-ai.test,Team 03
student0025@sample.tri-ai.test,Team 03
student0026@sample.tri-ai.test,Team 03
student0027@sample.tri-ai.test,Team 03
student0028@sample.tri-ai.test,Team 03
student0029@sample.tri-ai.test,Team 03
student0030@sample.tri-ai.test,Team 03
student0031@sample.tri-ai.test,Team 04
student0032@sample.tri-ai.test,Team 04
student0033@sample.tri-ai.test,Team 04
student0034@sample.tri-ai.test,Team 04
student0035@sample.tri-ai.test,Team 04
student0036@sample.tri-ai.test,Team 04
student0037@sample.tri-ai.test,Team 04
student0038@sample.tri-ai.test,Team 04
student0039@sample.tri-ai.test,Team 04
student0040@sample.tri-ai.test,Team 04
student0041@sample.tri-ai.test,Team 05
student0042@sample.tri-ai.test,Team 05
student0043@sample.tri-ai.test,Team 05
student0044@sample.tri-ai.test,Team 05
student0045@sample.tri-ai.test,Team 05
student0046@sample.tri-ai.test,Team 05
student0047@sample.tri-ai.test,Team 05
student0048@sample.tri-ai.test,Team 05
student0049@sample.tri-ai.test,Team 05
student0050@sample.tri-ai.test,Team 05
student0051@sample.tri-ai.test,Team 06
student0052@sample.tri-ai.test,Team 06
student0053@sample.tri-ai.test,Team 06
student0054@sample.tri-ai.test,Team 06
student0055@sample.tri-ai.test,Team 06
student0056@sample.tri-ai.test,Team 06
student0057@sample.tri-ai.test,Team 06
student0058@sample.tri-ai.test,Team 06
student0059@sample.tri-ai.test,Team 06
student0060@sample.tri-ai.test,Team 06
student0061@sample.tri-ai.test,Team 07
student0062@sample.tri-ai.test,Team 07
student0063@sample.tri-ai.test,Team 07
student0064@sample.tri-ai.test,Team 07
student0065@sample.tri-ai.test,Team 07
student0066@sample.tri-ai.test,Team 07
student0067@sample.tri-ai.test,Team 07
student0068@sample.tri-ai.test,Team 07
student0069@sample.tri-ai.test,Team 07
student0070@sample.tri-ai.test,Team 07
student0071@sample.tri-ai.test,Team 08
student0072@sample.tri-ai.test,Team 08
student0073@sample.tri-ai.test,Team 08
student0074@sample.tri-ai.test,Team 08
student0075@sample.tri-ai.test,Team 08
student0076@sample.tri-ai.test,Team 08
student0077@sample.tri-ai.test,Team 08
student0078@sample.tri-ai.test,Team 08
student0079@sample.tri-ai.test,Team 08
student0080@sample.tri-ai.test,Team 08
student0081@sample.tri-ai.test,Team 09
student0082@sample.tri-ai.test,Team 09
student0083@sample.tri-ai.test,Team 09
student0084@sample.tri-ai.test,Team 09
student0085@sample.tri-ai.test,Team 09
student0086@sample.tri-ai.test,Team 09
student0087@sample.tri-ai.test,Team 09
student0088@sample.tri-ai.test,Team 09
student0089@sample.tri-ai.test,Team 09
student0090@sample.tri-ai.test,Team 09
student0091@sample.tri-ai.test,Team 10
student0092@sample.tri-ai.test,Team 10
student0093@sample.tri-ai.test,Team 10
student0094@sample.tri-ai.test,Team 10
